,,exchange,pair,price,rank,updated,volume_24h,volume_percent
Bitcoin Markets,214,Upbit,XLM/BTC,8053.54,215,Recently,3791360,0.07
Bitcoin Markets,215,Bittrex,GUP/BTC,8067.58,216,Recently,3780270,0.07
Bitcoin Markets,216,Tidex,ETH/BTC,8020.19,217,Recently,3742410,0.07
Bitcoin Markets,217,Luno,BTC/ZAR,8221.14,218,Recently,3739460,0.07
Bitcoin Markets,218,YoBit,LSK/BTC,7989.64,219,Recently,3725570,0.07
Bitcoin Markets,219,Binance,ENG/BTC,8021.15,220,Recently,3706130,0.07
Bitcoin Markets,220,Bittrex,LTC/BTC,8020.97,221,Recently,3689520,0.07
Bitcoin Markets,221,Huobi,QTUM/BTC,8022.55,222,Recently,3601900,0.07
Bitcoin Markets,222,IDAX,LRC/BTC,8055.92,223,Recently,3471950,0.06
Bitcoin Markets,223,Huobi,NEO/BTC,8031.47,224,Recently,3461490,0.06
Bitcoin Markets,224,Fatbtc,BTC/CNY,8091.94,225,Recently,3448080,0.06
Bitcoin Markets,225,OKEx,AUTO/BTC,8143.35,226,Recently,3430520,0.06
Bitcoin Markets,226,Bitfinex,BCH/BTC,8047.99,227,Recently,3423110,0.06
Bitcoin Markets,227,Binance,POE/BTC,8004.51,228,Recently,3415090,0.06
Bitcoin Markets,228,Huobi,VEN/BTC,8005.23,229,Recently,3397980,0.06
Bitcoin Markets,229,Bittrex,SRN/BTC,8019.97,230,Recently,3397150,0.06
Bitcoin Markets,230,GOPAX,BTC/KRW,8013.82,231,Recently,3339740,0.06
Bitcoin Markets,231,OKEx,NEO/BTC,8023.86,232,Recently,3312860,0.06
Bitcoin Markets,232,OKEx,SNC/BTC,8001.17,233,Recently,3290140,0.06
Bitcoin Markets,233,IDAX,ETH/BTC,8040.22,234,Recently,3255430,0.06
Bitcoin Markets,234,Binance,POA/BTC,8054.57,235,Recently,3244170,0.06
Bitcoin Markets,235,Upbit,XEM/BTC,8018.32,236,Recently,3239850,0.06
Bitcoin Markets,236,Huobi,DGD/BTC,8064.77,237,Recently,3216990,0.06
Bitcoin Markets,237,OKEx,QTUM/BTC,8062.9,238,Recently,3213580,0.06
Bitcoin Markets,238,GDAX,BTC/GBP,8073.38,239,Recently,3212530,0.06
Bitcoin Markets,239,CoinEgg,LSK/BTC,7966.55,240,496 hours ago,3202180,0.0
Bitcoin Markets,240,Huobi,BCH/BTC,8055.42,241,Recently,3191000,0.06
Bitcoin Markets,241,Huobi,DTA/BTC,8030.2,242,Recently,3181200,0.06
Bitcoin Markets,242,Bit-Z,NULS/BTC,8015.05,243,Recently,3180770,0.06
Bitcoin Markets,243,Huobi,RDN/BTC,8012.8,244,Recently,3159690,0.06
Bitcoin Markets,244,Huobi,BTS/BTC,8035.23,245,Recently,3150950,0.06
Bitcoin Markets,245,xBTCe,BTC/USD,8037.2,246,Recently,3113850,0.06
Bitcoin Markets,246,Omicrex,BTC/USD,8037.2,247,Recently,3113850,0.06
Bitcoin Markets,247,Huobi,DASH/BTC,8047.05,248,Recently,3107120,0.06
Bitcoin Markets,248,Bittrex,BTG/BTC,8054.64,249,Recently,3100720,0.06
Bitcoin Markets,249,Exmo,BTC/EUR,8147.86,250,Recently,3090820,0.06
Bitcoin Markets,250,CoinEgg,QTUM/BTC,8364.61,251,496 hours ago,3071670,0.0
Bitcoin Markets,251,Bibox,ETH/BTC,8051.22,252,Recently,3061390,0.06
Bitcoin Markets,252,YoBit,WAVES/BTC,7972.48,253,Recently,3058220,0.06
Bitcoin Markets,253,Upbit,NBT/BTC,8005.72,254,Recently,3047410,0.06
Bitcoin Markets,254,Octaex,BTC/CNY,8003.39,255,3 hours ago,3045550,0.0
Bitcoin Markets,255,Binance,SALT/BTC,8070.6,256,Recently,3034370,0.06
Bitcoin Markets,256,Bittrex,WAVES/BTC,8007.57,257,Recently,2985340,0.05
